org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.spi.PersistenceContext$NaturalIdHelper,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRefImpl,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRef,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.EntityEntryContext$ImmutableManagedEntityHolder,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.event.internal.DefaultAutoFlushEventListener,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.spi.PersistenceContext,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.event.internal.DefaultFlushEventListener,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.stat.internal.SessionStatisticsImpl,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.tool.enhance.EnhancementTask,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.spi.Managed,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.StatefulPersistenceContext,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.spi.ManagedEntity,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.event.internal.AbstractFlushingEventListener,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.bytecode.enhance.spi.Enhancer,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.EntityEntryContext,1, LD
org.hibernate.engine.spi.ManagedComposite,org.hibernate.engine.internal.EntityEntryContext$ManagedEntityImpl,1, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionFactoryImpl$StatelessSessionBuilderImpl,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$AbstractTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$BeforeTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$AfterTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$TransactionCompletionProcesses,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$InsertActionSorter,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.spi.ActionQueue$ListProvider,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.IdentifierLoadAccess,5, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl,4, LD
